purchase_date,ingredient,quantity,unit,cost_per_unit,total_cost,expiration_date,shelf_life_days,days_until_expiration,alert_level
2023-02-12,Coffee Beans,12.3,kg,829.78,10177.49,2023-04-13,60,-1240.0,Expired
2023-02-12,Milk,3.8,liter,88.54,338.02,2023-02-19,7,-1293.0,Expired
2023-02-12,Fresh Cream,5.7,liter,184.97,1055.75,2023-02-22,10,-1290.0,Expired
2023-02-12,Cheese,7.9,kg,479.71,3789.05,2023-03-05,21,-1279.0,Expired
2023-02-12,Oreo,11.9,pack,146.02,1734.21,2023-08-11,180,-1120.0,Expired
2023-02-12,Potatoes,4.9,kg,94.5,460.62,2023-02-26,14,-1286.0,Expired
2023-02-12,Noodles,4.3,pack,44.45,191.31,2024-02-12,365,-935.0,Expired
2023-02-19,Coffee Beans,7.2,kg,873.13,6320.95,2023-04-20,60,-1233.0,Expired
2023-02-19,Fresh Cream,12.4,liter,183.67,2284.07,2023-03-01,10,-1283.0,Expired
2023-02-19,Bread,9.5,pack,56.02,530.66,2023-02-23,4,-1289.0,Expired
2023-02-19,Chocolate Syrup,3.0,bottle,217.07,652.49,2023-05-20,90,-1203.0,Expired
2023-02-19,Matcha Powder,6.5,kg,944.81,6131.25,2023-08-18,180,-1113.0,Expired
2023-02-19,Strawberry,6.4,kg,285.26,1822.48,2023-02-24,5,-1288.0,Expired
2023-02-19,Oreo,5.4,pack,147.12,797.88,2023-08-18,180,-1113.0,Expired
2023-02-19,Potatoes,4.2,kg,96.43,403.79,2023-03-05,14,-1279.0,Expired
2023-02-26,Coffee Beans,7.4,kg,870.36,6445.8,2023-04-27,60,-1226.0,Expired
2023-02-26,Milk,10.0,liter,89.58,897.73,2023-03-05,7,-1279.0,Expired
2023-02-26,Cheese,6.6,kg,493.87,3275.08,2023-03-19,21,-1265.0,Expired
2023-02-26,Bread,11.3,pack,56.59,639.01,2023-03-02,4,-1282.0,Expired
2023-02-26,Chocolate Syrup,6.0,bottle,216.21,1306.61,2023-05-27,90,-1196.0,Expired
2023-02-26,Caramel Syrup,11.6,bottle,216.44,2517.29,2023-05-27,90,-1196.0,Expired
2023-02-26,Matcha Powder,8.3,kg,978.53,8155.35,2023-08-25,180,-1106.0,Expired
2023-02-26,Strawberry,8.8,kg,278.04,2448.22,2023-03-03,5,-1281.0,Expired
