date,day_of_week,item,item_name,category,quantity,price,total,cost,is_weekend,hour,month,month_name,week,is_peak_hour
2026-01-20 16:39:39,Tuesday,triple caramel,triple caramel,Kôfē Frappé,1,160.0,160.0,48.0,False,16,1,January,4,True
2026-01-20 16:39:39,Tuesday,white mocha (hot),white mocha (hot),Coffee Based,1,140.0,140.0,42.0,False,16,1,January,4,True
2026-01-20 16:39:39,Tuesday,BFF (Better French fries) Large (cheese),BFF (Better French fries) Large (cheese),Mini Bites,1,100.0,100.0,30.0,False,16,1,January,4,True
2026-01-20 16:40:00,Tuesday,mocha (iced),mocha (iced),Coffee Based,1,150.0,150.0,45.0,False,16,1,January,4,True
2026-01-20 16:40:00,Tuesday,matcha Supreme latte (iced),matcha Supreme latte (iced),Sans Coffee,1,150.0,150.0,45.0,False,16,1,January,4,True
2026-01-20 16:40:00,Tuesday,caramel macchiato (iced),caramel macchiato (iced),Coffee Based,1,150.0,150.0,45.0,False,16,1,January,4,True
2026-01-20 16:40:00,Tuesday,Spanish latte (iced),Spanish latte (iced),Coffee Based,1,140.0,140.0,42.0,False,16,1,January,4,True
2026-01-20 17:36:03,Tuesday,caramel macchiato (iced),caramel macchiato (iced),Coffee Based,1,150.0,150.0,45.0,False,17,1,January,4,False
2026-01-20 17:50:24,Tuesday,mocha (iced),mocha (iced),Coffee Based,1,150.0,150.0,45.0,False,17,1,January,4,False
2026-01-20 17:50:24,Tuesday,white mocha (iced),white mocha (iced),Coffee Based,1,150.0,150.0,45.0,False,17,1,January,4,False
2026-01-20 21:42:37,Tuesday,Chicken wings (1 dozen),Chicken wings (1 dozen),Mini Bites,1,570.0,570.0,171.0,False,21,1,January,4,False
2026-01-20 21:42:29,Tuesday,strawberry latte,strawberry latte,Sans Coffee,2,150.0,300.0,45.0,False,21,1,January,4,False
2026-01-20 21:42:21,Tuesday,choco dinosaur latte,choco dinosaur latte,Sans Coffee,1,150.0,150.0,45.0,False,21,1,January,4,False
2026-01-20 21:42:21,Tuesday,strawberry latte,strawberry latte,Sans Coffee,1,150.0,150.0,45.0,False,21,1,January,4,False
