date,item_name,category,quantity_wasted,waste_reason,cost_per_item,total_waste_cost,month,month_name
2023-02-08,BFF (Better French fries) Large (sour cream),Mini Bites,2,Over-prepared,28.0,56.0,2.0,February
2023-02-08,simple milk tea ,Sans Coffee,3,Spoiled,28.0,84.0,2.0,February
2023-02-08,matcha espresso fusion  (iced),Signature Kôfē,1,Over-prepared,35.0,35.0,2.0,February
2023-02-08,French fries Spicy barbecue  (large ),Mini Bites,2,Expired,30.0,60.0,2.0,February
2023-02-09,Whipped Americano,Signature Kôfē,1,Over-prepared,36.0,36.0,2.0,February
2023-02-09,oreo overload Frappe ,Kôfē Frappé,3,Expired,37.0,111.0,2.0,February
2023-02-09,Iced honey shaken espresso ,Signature Kôfē,1,Over-prepared,36.0,36.0,2.0,February
2023-02-10,Chiz melt  (bacon),Mini Bites,3,Expired,28.0,84.0,2.0,February
2023-02-10,French fries plain (large),Mini Bites,1,Over-prepared,90.0,90.0,2.0,February
2023-02-10,BFF (Better French fries)medium  ( cheese ),Mini Bites,3,Spoiled,16.0,48.0,2.0,February
2023-02-11,Ramen (regular),Mini Bites,1,Over-prepared,17.0,17.0,2.0,February
2023-02-11,Strawberry Reverie ,Sans Coffee,1,Expired,39.0,39.0,2.0,February
2023-02-11,hot citron tea,Sans Coffee,2,Over-prepared,22.0,44.0,2.0,February
2023-02-11,Belgian waffle  (peanut butter ),Sans Coffee,2,Expired,25.0,50.0,2.0,February
2023-02-11,caramel macchiato (hot),Coffee Based,1,Spoiled,42.0,42.0,2.0,February
2023-02-12,FFFF (plain with catsup medium),Sans Coffee,2,Quality issue,8.0,16.0,2.0,February
2023-02-12,matcha Supreme latte (iced),Sans Coffee,3,Quality issue,35.0,105.0,2.0,February
2023-02-12,white mocha  (hot),Coffee Based,3,Expired,32.0,96.0,2.0,February
2023-02-12,Chicken wings (1 dozen),Mini Bites,2,Spoiled,165.0,330.0,2.0,February
2023-02-13,FFFF (large sc),Sans Coffee,1,Quality issue,18.0,18.0,2.0,February
2023-02-13,BFF (Better French fries) Large (cheese),Mini Bites,1,Expired,30.0,30.0,2.0,February
2023-02-13,Overload lomi (malabnaw),Mini Bites,2,Spoiled,99.0,198.0,2.0,February
2023-02-13,hot creamy barako,Sans Coffee,2,Quality issue,19.0,38.0,2.0,February
2023-02-14,the super charged (25% more coffee)  (iced),Sans Coffee,3,Over-prepared,34.0,102.0,2.0,February
2023-02-14,drip coffee (8 bags/pouch) (barako),Sans Coffee,2,Expired,37.0,74.0,2.0,February
2023-02-14,FFFF (plain with catsup medium),Sans Coffee,2,Quality issue,8.0,16.0,2.0,February
2023-02-14,French fries plain (large),Mini Bites,2,Over-prepared,90.0,180.0,2.0,February
2023-02-15,drip coffee (8 bags/pouch) (arabica),Sans Coffee,2,Quality issue,62.0,124.0,2.0,February
2023-02-15,Choco caramel decadence,Sans Coffee,2,Expired,45.0,90.0,2.0,February
2023-02-15,Add_on (seaweeds),Sans Coffee,1,Over-prepared,8.0,8.0,2.0,February
2023-02-15,Belgian waffle  (peanut butter ),Sans Coffee,2,Over-prepared,25.0,50.0,2.0,February
2023-02-16,Strawberry Reverie ,Sans Coffee,3,Spoiled,39.0,117.0,2.0,February
2023-02-16,Add_on (cheese),Sans Coffee,2,Quality issue,12.0,24.0,2.0,February
2023-02-16,BFF (Better French fries) Large (bbq),Mini Bites,2,Quality issue,28.0,56.0,2.0,February
2023-02-17,Chicken pops (bbq),Mini Bites,3,Expired,50.0,150.0,2.0,February
2023-02-17,super mocha ,Kôfē Frappé,3,Over-prepared,38.0,114.0,2.0,February
2023-02-17,Sinagtala lomi 20 pax,Mini Bites,1,Expired,360.0,360.0,2.0,February
2023-02-17,caramel macchiato (hot),Coffee Based,3,Over-prepared,42.0,126.0,2.0,February
2023-02-18,white mocha  (iced),Coffee Based,1,Spoiled,35.0,35.0,2.0,February
2023-02-18,Overload lomi (malabnaw),Mini Bites,2,Over-prepared,99.0,198.0,2.0,February
2023-02-18,mango banana milk shake ,Kôfē Frappé,1,Expired,35.0,35.0,2.0,February
2023-02-18,Belgian waffle  (strawberry chocolate ),Sans Coffee,1,Over-prepared,27.0,27.0,2.0,February
2023-02-19,FFFF (large bbq),Sans Coffee,1,Expired,18.0,18.0,2.0,February
2023-02-19,FFFF (plain with catsup medium),Sans Coffee,1,Spoiled,8.0,8.0,2.0,February
2023-02-19,Chicken wings (3pcs),Mini Bites,1,Spoiled,45.0,45.0,2.0,February
2023-02-19,Chicken fillet,Mini Bites,2,Over-prepared,45.0,90.0,2.0,February
2023-02-19,white mocha (iced),Coffee Based,2,Over-prepared,45.0,90.0,2.0,February
2023-02-20,Chiz melt  (ham),Mini Bites,1,Expired,26.0,26.0,2.0,February
2023-02-20,BFF (Better French fries) Large (bbq),Mini Bites,2,Over-prepared,28.0,56.0,2.0,February
2023-02-20,Chicken wings (3pcs),Mini Bites,1,Over-prepared,45.0,45.0,2.0,February
2023-02-21,iced creamy barako,Sans Coffee,1,Over-prepared,24.0,24.0,2.0,February
2023-02-21,Ramen (regular),Mini Bites,1,Quality issue,17.0,17.0,2.0,February
2023-02-21,BFF (Better French fries)medium  (sour cream),Mini Bites,2,Spoiled,16.0,32.0,2.0,February
2023-02-22,brownie,Sans Coffee,2,Over-prepared,21.0,42.0,2.0,February
2023-02-22,BFF (Better French fries) Large (bbq),Mini Bites,2,Over-prepared,28.0,56.0,2.0,February
2023-02-22,BFF (Better French fries) Large (sour cream),Mini Bites,2,Expired,28.0,56.0,2.0,February
2023-02-23,sparkling berry,Sans Coffee,1,Expired,31.0,31.0,2.0,February
2023-02-23,Extra Rice,Sans Coffee,1,Over-prepared,5.0,5.0,2.0,February
2023-02-23,americano (hot),Coffee Based,1,Over-prepared,26.0,26.0,2.0,February
2023-02-24,simple milk tea ,Sans Coffee,2,Over-prepared,28.0,56.0,2.0,February
2023-02-24,French fries plain (large),Mini Bites,1,Expired,90.0,90.0,2.0,February
2023-02-24,kofetala special blend ,Sans Coffee,1,Spoiled,34.0,34.0,2.0,February
2023-02-25,mocha (iced),Coffee Based,1,Over-prepared,35.0,35.0,2.0,February
2023-02-25,Add_on (ham),Sans Coffee,1,Over-prepared,15.0,15.0,2.0,February
2023-02-25,brownie,Sans Coffee,2,Quality issue,21.0,42.0,2.0,February
2023-02-25,matcha Supreme latte (iced),Sans Coffee,3,Over-prepared,35.0,105.0,2.0,February
2023-02-25,iced creamy barako,Sans Coffee,1,Over-prepared,24.0,24.0,2.0,February
2023-02-26, latte ,Coffee Based,1,Over-prepared,29.0,29.0,2.0,February
2023-02-26,Overload lomi (malapot),Mini Bites,3,Quality issue,99.0,297.0,2.0,February
2023-02-26,Choco caramel decadence,Sans Coffee,2,Spoiled,45.0,90.0,2.0,February
2023-02-26,latte,Coffee Based,1,Expired,42.0,42.0,2.0,February
2023-02-27,hot creamy barako,Sans Coffee,1,Over-prepared,19.0,19.0,2.0,February
2023-02-27,Chiz melt  (ham),Mini Bites,2,Spoiled,26.0,52.0,2.0,February
2023-02-27,drip coffee (8 bags/pouch) (arabica),Sans Coffee,1,Quality issue,62.0,62.0,2.0,February
2023-02-27,kofetala special blend ,Sans Coffee,3,Over-prepared,34.0,102.0,2.0,February
2023-02-28,Drip coffee  (barako),Sans Coffee,3,Over-prepared,17.0,51.0,2.0,February
2023-02-28,the super charged (25% more coffee)  (iced),Sans Coffee,3,Over-prepared,34.0,102.0,2.0,February
2023-02-28,americano (hot),Coffee Based,1,Expired,26.0,26.0,2.0,February
2023-03-01,FFFF (med sc),Sans Coffee,2,Over-prepared,8.0,16.0,3.0,March
2023-03-01,Chicken wings (half dozen),Mini Bites,2,Spoiled,82.0,164.0,3.0,March
2023-03-01,Product Name (special a),Sans Coffee,2,Spoiled,41.0,82.0,3.0,March
2023-03-01,americano (iced),Coffee Based,2,Over-prepared,28.0,56.0,3.0,March
2023-03-02,BFF (Better French fries) Large (sour cream),Mini Bites,3,Over-prepared,28.0,84.0,3.0,March
2023-03-02,matcha Supreme latte (hot),Sans Coffee,1,Over-prepared,32.0,32.0,3.0,March
2023-03-02,matcha espresso fusion  (iced),Signature Kôfē,3,Over-prepared,35.0,105.0,3.0,March
2023-03-03,the super charged (25% more coffee)  (hot),Sans Coffee,2,Quality issue,31.0,62.0,3.0,March
2023-03-03,BFF (Better French fries) Large (cheese ),Mini Bites,2,Over-prepared,28.0,56.0,3.0,March
2023-03-03,Drip coffee  (barako),Sans Coffee,2,Over-prepared,17.0,34.0,3.0,March
2023-03-04,Choco caramel decadence,Sans Coffee,3,Spoiled,45.0,135.0,3.0,March
2023-03-04,FFFF (plain with catsup medium),Sans Coffee,2,Spoiled,8.0,16.0,3.0,March
2023-03-04,white mocha (iced),Coffee Based,1,Spoiled,45.0,45.0,3.0,March
2023-03-04,mocha (hot),Coffee Based,1,Over-prepared,31.0,31.0,3.0,March
2023-03-05,Add_on (kimchi),Sans Coffee,3,Expired,15.0,45.0,3.0,March
2023-03-05,Product Name (special b),Sans Coffee,3,Expired,46.0,138.0,3.0,March
2023-03-05,Whipped Americano,Signature Kôfē,1,Expired,36.0,36.0,3.0,March
2023-03-05,BFF (Better French fries)medium  ( cheese ),Mini Bites,2,Spoiled,16.0,32.0,3.0,March
2023-03-05,BFF (Better French fries)medium  (bbq ),Mini Bites,1,Spoiled,16.0,16.0,3.0,March
2023-03-06,FFFF (med sc),Sans Coffee,2,Over-prepared,8.0,16.0,3.0,March
2023-03-06,BFF (Better French fries)medium  (large),Mini Bites,3,Over-prepared,27.0,81.0,3.0,March
2023-03-06,Add_on (egg),Sans Coffee,3,Over-prepared,10.0,30.0,3.0,March
2023-03-06,Add_on (seaweeds),Sans Coffee,2,Over-prepared,8.0,16.0,3.0,March
2023-03-07,Spanish latte (iced),Coffee Based,2,Over-prepared,32.0,64.0,3.0,March
2023-03-07,brownie,Sans Coffee,2,Expired,21.0,42.0,3.0,March
2023-03-07,drip coffee (8 bags/pouch) (arabica),Sans Coffee,1,Expired,62.0,62.0,3.0,March
2023-03-08,Spanish latte (hot),Coffee Based,3,Spoiled,29.0,87.0,3.0,March
2023-03-08,americano (iced),Coffee Based,2,Quality issue,28.0,56.0,3.0,March
2023-03-08,Cookies ,Sans Coffee,3,Spoiled,18.0,54.0,3.0,March
2023-03-08,dalgona ,Signature Kôfē,1,Quality issue,32.0,32.0,3.0,March
2023-03-09,white mocha  (hot),Coffee Based,3,Over-prepared,32.0,96.0,3.0,March
2023-03-09,Brownies ,Sans Coffee,3,Over-prepared,21.0,63.0,3.0,March
2023-03-09,matcha Supreme latte (hot),Sans Coffee,3,Spoiled,32.0,96.0,3.0,March
2023-03-09,Cookies ,Sans Coffee,1,Over-prepared,18.0,18.0,3.0,March
2023-03-10,Cookies ,Sans Coffee,2,Over-prepared,18.0,36.0,3.0,March
2023-03-10,FFFF (large bbq),Sans Coffee,3,Expired,18.0,54.0,3.0,March
2023-03-10,caramel macchiato  (iced),Coffee Based,3,Expired,35.0,105.0,3.0,March
2023-03-10,Chicken wings (3pcs),Mini Bites,1,Over-prepared,45.0,45.0,3.0,March
2023-03-11,French fries plain (large),Mini Bites,2,Over-prepared,90.0,180.0,3.0,March
