date_only,total_records,total_qty,total_revenue,total_cost,total_waste_cost,avg_profit_margin
2023-02-01,12,15,1606.0,481.80000000000007,31.240000000000002,0.6999999999999998
2023-02-02,15,16,1578.0,473.40000000000003,31.689999999999998,0.7
2023-02-03,10,11,1173.0,336.90000000000003,27.19,0.71364
2023-02-04,22,26,2595.0,763.5,55.71,0.7061999999999999
2023-02-05,30,36,3552.0,1050.6000000000001,72.48,0.7045466666666667
2023-02-06,19,26,2542.0,762.6,51.52,0.7
2023-02-07,15,17,1609.0,482.70000000000005,30.55,0.7
2023-02-08,13,18,1855.0,541.5,34.2,0.7104923076923076
2023-02-09,7,8,754.0,226.20000000000002,17.47,0.7
2023-02-10,11,12,1098.0,329.40000000000003,25.81,0.7
2023-02-11,32,44,4132.0,1239.6000000000001,90.58,0.7
2023-02-12,18,19,1824.0,547.2,41.84,0.7
2023-02-13,14,15,1517.0,455.1,36.26,0.7
2023-02-14,24,25,2446.0,703.8000000000001,49.129999999999995,0.7056833333333333
2023-02-15,13,13,1222.0,366.6,26.14,0.7
2023-02-16,23,30,2978.0,863.4000000000001,57.67,0.7059304347826086
2023-02-17,17,17,1756.0,526.8000000000001,41.699999999999996,0.7
2023-02-18,10,12,1165.0,349.5,21.37,0.7
2023-02-19,47,55,5188.0,1556.4,114.32,0.7
2023-02-20,30,34,3093.0,927.9,67.88,0.7
2023-02-21,7,11,924.0,277.2,22.55,0.7
2023-02-23,11,15,1430.0,399.0,42.29,0.7123999999999999
2023-02-24,12,16,1657.0,467.1,31.79,0.7113666666666667
2023-02-25,18,20,2045.0,613.5,48.29,0.7
2023-02-26,41,51,5071.0,1506.3000000000002,116.93,0.7033268292682926
2023-02-27,25,30,2802.0,825.6,57.46,0.705456
2023-02-28,25,27,2480.0,744.0,60.05,0.7
2023-03-01,9,10,943.0,282.9,25.119999999999997,0.7
2023-03-02,14,20,1933.0,579.9000000000001,42.03,0.7
2023-03-03,9,12,1147.0,344.1,31.16,0.7
2023-03-04,34,38,3624.0,1087.2,77.28,0.7
2023-03-05,29,34,3166.0,934.8000000000001,65.74,0.7047034482758621
2023-03-06,5,8,744.0,223.2,14.33,0.7
2023-03-07,6,7,616.0,184.8,13.85,0.6999999999999998
2023-03-08,15,17,1611.0,468.3,30.27,0.7090933333333334
2023-03-09,12,14,1451.0,405.3,28.39,0.7113666666666667
2023-03-10,12,14,1281.0,354.3,23.31,0.7113666666666667
2023-03-11,14,14,1359.0,407.7,28.04,0.7
2023-03-12,23,27,2548.0,764.4,57.14,0.7
2023-03-13,12,14,1390.0,417.0,30.36,0.6999999999999998
2023-03-14,20,22,2239.0,671.7,45.83,0.7
2023-03-15,5,5,546.0,148.8,9.94,0.72728
2023-03-16,19,22,2092.0,627.6,45.11,0.7
2023-03-17,15,18,1699.0,509.70000000000005,40.55,0.7
2023-03-18,16,17,1807.0,542.1,44.0,0.7
2023-03-19,18,18,1796.0,538.8000000000001,37.019999999999996,0.7
2023-03-20,9,13,1231.0,369.3,26.240000000000002,0.7
2023-03-21,6,7,675.0,202.5,16.31,0.6999999999999998
2023-03-22,9,10,887.0,266.1,18.46,0.7
2023-03-23,2,2,188.0,56.400000000000006,3.4699999999999998,0.7
2023-03-24,11,12,1114.0,334.2,27.93,0.7
2023-03-25,19,24,2177.0,638.1,43.62,0.707178947368421
2023-03-26,23,24,2362.0,708.6,58.129999999999995,0.7
2023-03-27,17,19,1704.0,511.2,36.63,0.7
2023-03-28,6,11,1072.0,321.6,24.44,0.6999999999999998
2023-03-29,3,5,485.0,145.5,9.54,0.6999999999999998
2023-03-30,19,23,2357.0,707.1,55.87,0.7
2023-03-31,13,14,1374.0,412.20000000000005,29.38,0.7
2023-04-01,24,32,3279.0,968.7,79.87,0.7056833333333333
2023-04-02,19,24,2444.0,718.2,60.269999999999996,0.707178947368421
2023-04-03,12,14,1419.0,425.70000000000005,32.51,0.6999999999999998
2023-04-04,20,22,2171.0,651.3,49.66,0.7
2023-04-05,14,16,1706.0,511.8,39.21,0.7
2023-04-06,31,43,4392.0,1317.6000000000001,94.36,0.7
2023-04-08,24,32,3326.0,982.8000000000001,67.6,0.7056833333333333
2023-04-09,38,47,4672.0,1401.6000000000001,90.5,0.7
2023-04-10,10,13,1418.0,425.40000000000003,30.79,0.7
2023-04-11,13,13,1278.0,368.40000000000003,30.41,0.7104923076923076
2023-04-12,7,8,805.0,241.5,21.49,0.7
2023-04-13,14,14,1446.0,433.8,30.009999999999998,0.7
2023-04-14,21,21,2133.0,639.9,45.699999999999996,0.7
2023-04-15,19,24,2460.0,693.0,54.25,0.7215368421052631
2023-04-16,21,24,2390.0,717.0,48.47,0.7
2023-04-17,24,26,2599.0,779.7,56.28,0.6999999999999998
2023-04-18,13,15,1534.0,460.20000000000005,39.04,0.7
2023-04-19,6,6,625.0,187.5,14.04,0.6999999999999998
2023-04-20,7,8,894.0,253.20000000000002,20.67,0.7194857142857142
2023-04-21,14,18,1709.0,512.7,40.72,0.7
2023-04-22,9,10,922.0,276.6,18.39,0.7
2023-04-23,17,20,2035.0,610.5,49.51,0.7
2023-04-24,11,13,1275.0,382.5,20.83,0.7
2023-04-25,17,20,2001.0,600.3,45.36,0.7
2023-04-26,9,11,1127.0,338.1,27.81,0.7
2023-04-27,17,18,1784.0,535.2,41.83,0.7
2023-04-28,19,23,2146.0,645.3000000000001,50.51,0.6985631578947368
2023-04-29,12,16,1551.0,420.3,33.47,0.7227333333333332
2023-04-30,15,19,1919.0,575.7,40.94,0.7
2023-05-01,13,19,1892.0,567.6,30.9,0.7
2023-05-02,10,10,933.0,279.9,23.46,0.7
2023-05-03,18,21,2187.0,626.1,47.64,0.7075777777777777
2023-05-04,18,24,2139.0,641.7,57.35,0.7
2023-05-05,11,12,1041.0,312.3,23.689999999999998,0.7
2023-05-06,11,11,1018.0,305.40000000000003,27.93,0.7
2023-05-07,21,27,2840.0,822.0,61.66,0.7064952380952381
2023-05-08,18,18,1672.0,501.6,39.48,0.7
2023-05-09,20,24,2362.0,708.6,56.54,0.7
2023-05-10,3,4,446.0,133.8,8.42,0.6999999999999998
2023-05-11,7,7,724.0,217.20000000000002,16.79,0.7
2023-05-12,9,9,872.0,261.6,19.59,0.7
2023-05-13,5,7,753.0,225.9,15.22,0.7
2023-05-14,12,19,1962.0,588.6,41.18,0.6999999999999998
2023-05-15,24,24,2504.0,721.2,46.35,0.7113666666666667
2023-05-16,12,12,1268.0,380.40000000000003,24.46,0.6999999999999998
2023-05-17,21,29,2916.0,874.8000000000001,65.79,0.7
2023-05-18,15,15,1570.0,471.0,36.129999999999995,0.7
2023-05-19,13,14,1374.0,412.2,28.15,0.7
2023-05-20,24,32,3302.0,990.6,73.31,0.6999999999999998
2023-05-21,27,30,3105.0,931.5,59.53,0.7
2023-05-22,4,5,408.0,122.4,13.129999999999999,0.7
2023-05-23,22,26,2335.0,700.5,58.57,0.7
2023-05-24,9,9,774.0,232.20000000000002,18.97,0.7
2023-05-25,15,20,1953.0,585.9000000000001,36.35,0.7
2023-05-26,15,16,1534.0,445.20000000000005,35.55,0.7090933333333334
2023-05-27,11,13,1079.0,323.7,29.83,0.7
2023-05-28,21,26,2575.0,772.5,56.36,0.7
2023-05-29,10,13,1364.0,409.20000000000005,28.59,0.7
2023-05-30,7,8,824.0,247.20000000000002,18.83,0.7
2023-05-31,16,17,1745.0,493.5,40.059999999999995,0.708525
2023-06-01,7,8,736.0,220.8,22.25,0.7
2023-06-02,5,5,387.0,116.1,8.8,0.7
2023-06-03,24,25,2347.0,704.1,49.379999999999995,0.6999999999999998
2023-06-04,22,28,2750.0,825.0,67.4,0.7
2023-06-05,14,19,1690.0,507.0,43.73,0.7
2023-06-06,39,46,4165.8,1234.74,92.99,0.7034974358974359
2023-06-07,15,16,1658.0,497.40000000000003,34.39,0.7
2023-06-08,18,24,2410.0,723.0,53.08,0.7
2023-06-09,4,4,318.0,95.4,9.41,0.7
2023-06-10,11,14,1404.0,421.20000000000005,40.86,0.7
2023-06-11,23,26,2607.0,767.1,56.199999999999996,0.7059304347826086
2023-06-12,34,37,3572.0,1071.6000000000001,75.47,0.7
2023-06-13,14,18,1632.0,489.6,34.57,0.7
2023-06-14,19,21,2127.0,638.1,56.449999999999996,0.7
2023-06-15,7,8,726.0,217.8,14.83,0.7
2023-06-16,16,18,1894.0,568.2,35.56,0.7
2023-06-17,11,13,1297.0,359.1,24.06,0.7123999999999999
2023-06-18,14,16,1623.0,471.90000000000003,35.51,0.7097428571428571
2023-06-19,11,12,1014.0,304.2,28.43,0.7
2023-06-20,6,6,532.0,159.60000000000002,15.919999999999998,0.6999999999999998
2023-06-21,15,17,1686.0,505.8,39.55,0.7
2023-06-22,10,12,1131.0,339.3,28.15,0.7
2023-06-23,9,10,1031.0,309.3,22.63,0.7
2023-06-24,26,28,2918.0,860.4000000000001,67.25,0.7052461538461537
2023-06-25,32,39,3853.0,1125.9,76.27,0.7042625
2023-06-26,20,22,2262.0,678.6,48.03,0.7
2023-06-27,21,21,2084.0,625.2,49.41,0.7
2023-06-28,18,19,1765.0,514.5,43.14,0.7075777777777777
2023-06-29,22,22,2203.0,660.9000000000001,51.58,0.7
2023-06-30,30,32,3107.0,887.1,67.12,0.7090933333333334
2023-07-01,37,45,4029.0,1178.7,88.98,0.7036864864864864
2023-07-02,34,50,4653.0,1395.9,99.54,0.7
2023-07-03,6,6,546.0,163.8,13.46,0.6999999999999998
2023-07-04,18,20,1927.0,548.1,44.81,0.7075777777777777
2023-07-05,9,9,734.0,220.20000000000002,20.91,0.7
2023-07-06,8,9,973.0,291.90000000000003,20.43,0.7
2023-07-07,6,7,670.0,201.0,14.4,0.6999999999999998
2023-07-08,19,27,2659.0,797.7,59.53,0.7
2023-07-09,22,24,2412.0,723.6,57.61,0.7
2023-07-10,18,21,2076.0,622.8000000000001,53.7,0.7
2023-07-11,11,14,1373.0,411.90000000000003,43.72,0.7
2023-07-12,7,8,812.0,243.6,13.91,0.7
2023-07-13,9,10,972.0,291.6,21.89,0.7
2023-07-14,15,17,1640.0,492.0,33.43,0.7
2023-07-15,10,11,1145.0,343.5,20.05,0.7
2023-07-16,12,13,1159.0,347.7,24.11,0.6999999999999998
2023-07-17,16,16,1566.0,469.8,34.5,0.7
2023-07-18,6,7,715.0,214.5,18.4,0.6999999999999998
2023-07-19,23,26,2567.0,770.1,48.87,0.7
2023-07-20,18,21,1902.0,555.6,46.65,0.7075777777777777
2023-07-21,4,6,576.0,172.8,15.35,0.7
2023-07-22,28,31,3198.0,944.4000000000001,59.519999999999996,0.7048714285714286
2023-07-23,14,20,2042.0,612.6,40.32,0.7
2023-07-24,14,15,1528.0,458.40000000000003,32.32,0.7
2023-07-25,9,11,1080.0,309.0,19.220000000000002,0.7151555555555555
2023-07-26,13,18,1761.0,528.3000000000001,41.83,0.7
2023-07-28,6,6,500.0,150.0,22.5,0.6999999999999998
2023-07-29,3,5,485.0,145.5,9.66,0.6999999999999998
2023-07-30,8,8,792.0,237.6,11.879999999999999,0.7
2023-07-31,2,3,317.0,95.10000000000001,4.75,0.7
2023-08-01,6,6,556.0,151.8,11.01,0.7227333333333332
2023-08-02,15,22,1827.0,548.1,45.8,0.7
2023-08-03,4,5,515.0,154.5,9.620000000000001,0.7
2023-08-04,5,7,626.0,187.8,15.1,0.7
2023-08-05,6,6,542.0,162.6,13.719999999999999,0.6999999999999998
2023-08-06,38,42,4261.0,1263.3,98.76,0.7035894736842105
2023-08-07,18,20,2032.0,609.6,44.61,0.7
2023-08-08,4,5,515.0,154.5,9.040000000000001,0.7
2023-08-09,9,9,844.0,253.2,21.47,0.7
2023-08-10,14,17,1750.0,525.0,52.06,0.7
2023-08-11,3,6,578.0,173.4,20.78,0.6999999999999998
2023-08-12,31,39,3743.0,1122.9,86.89,0.7
2023-08-13,24,27,2755.0,811.5,60.19,0.7056833333333333
2023-08-14,11,13,1297.0,389.1,24.23,0.7
2023-08-15,7,9,811.0,243.3,14.959999999999999,0.7
2023-08-16,21,33,3386.0,1015.8000000000001,87.97,0.7
2023-08-17,21,26,2691.0,792.3000000000001,61.93,0.7064952380952381
2023-08-18,27,39,4058.0,1217.4,78.62,0.7
2023-08-19,13,20,1783.0,534.9000000000001,32.24,0.7
2023-08-20,18,28,2930.0,879.0,61.980000000000004,0.7
2023-08-21,27,29,2709.0,812.7,63.19,0.7
2023-08-22,7,8,714.0,214.20000000000002,18.23,0.7
2023-08-23,23,30,2848.0,824.4,61.410000000000004,0.7118608695652173
2023-08-24,10,10,1005.0,301.5,31.95,0.7
2023-08-25,7,11,1120.0,336.0,22.0,0.7
2023-08-26,23,27,2573.0,771.9,56.43,0.7
2023-08-27,7,7,649.0,194.70000000000002,11.55,0.7
2023-08-28,24,28,2763.0,828.9,65.16,0.6999999999999998
2023-08-29,4,7,576.0,172.8,17.150000000000002,0.7
2023-08-30,8,9,790.0,222.0,19.57,0.71705
2023-08-31,5,6,605.0,166.5,8.69,0.72728
2023-09-01,10,11,1172.0,321.6,21.9,0.72728
2023-09-02,17,21,2042.0,612.6,41.35,0.7
2023-09-03,13,13,1294.0,388.20000000000005,27.060000000000002,0.7
2023-09-04,6,8,923.0,276.90000000000003,19.98,0.6999999999999998
2023-09-05,9,10,971.0,291.3,19.11,0.7
2023-09-06,3,7,753.0,225.9,14.559999999999999,0.6999999999999998
2023-09-07,8,15,1535.0,460.5,32.42,0.7
2023-09-08,13,13,1301.0,390.3,35.84,0.7
2023-09-09,24,27,2870.0,831.0,67.86,0.7113666666666667
2023-09-10,45,54,5381.0,1614.3,125.71,0.7
2023-09-11,25,30,2983.0,894.9000000000001,63.199999999999996,0.7
2023-09-12,7,7,677.0,203.10000000000002,19.919999999999998,0.7
2023-09-13,11,12,1140.0,342.0,24.38,0.7
2023-09-14,14,21,2038.0,551.4,45.379999999999995,0.7097428571428571
2023-09-15,17,18,1688.0,506.4,31.63,0.7
2023-09-16,10,12,1122.0,336.6,29.16,0.7
2023-09-17,25,26,2531.0,759.3000000000001,60.83,0.7
2023-09-18,19,21,1985.0,595.5,51.22,0.7
2023-09-19,22,24,2442.0,657.6,54.41,0.7248
2023-09-20,4,5,555.0,166.5,10.719999999999999,0.7
2023-09-21,6,6,585.0,175.5,13.799999999999999,0.6999999999999998
2023-09-23,11,14,1378.0,413.40000000000003,36.24,0.7
2023-09-24,28,35,3521.0,1056.3,71.89,0.7
2023-09-26,23,29,2889.0,836.7,63.48,0.7118608695652173
2023-09-27,14,17,1877.0,563.1,36.66,0.7
2023-09-28,5,6,685.0,190.5,13.76,0.72728
