item,category,total_qty,total_revenue,avg_margin,avg_waste_rate,menu_performance
 latte ,Coffee Based,140,13310.0,0.7,0.05,Improve
6 Chicken wings ,Mini Bites,1,275.0,0.7,0.15,Reconsider
Add_on (cheese),Sans Coffee,2,30.0,0.2,0.07,Reconsider
Add_on (egg),Sans Coffee,2,30.0,0.3333,0.07,Reconsider
Add_on (ham),Sans Coffee,1,20.0,0.25,0.07,Reconsider
Add_on (kimchi),Sans Coffee,8,165.0,0.27499999999999997,0.07,Improve
Add_on (seaweeds),Sans Coffee,13,130.0,0.2,0.07,Improve
BFF (Better French fries) Large (bbq),Mini Bites,456,43230.0,0.7,0.15,Keep
BFF (Better French fries) Large (cheese ),Mini Bites,529,50000.0,0.7,0.15,Keep
BFF (Better French fries) Large (cheese),Mini Bites,2,200.0,0.7,0.15,Reconsider
BFF (Better French fries) Large (sour cream),Mini Bites,533,50405.0,0.7,0.15,Keep
BFF (Better French fries)medium  ( cheese ),Mini Bites,195,10380.0,0.7,0.15,Improve
BFF (Better French fries)medium  (bbq ),Mini Bites,140,7590.0,0.7,0.15,Improve
BFF (Better French fries)medium  (large),Mini Bites,1,89.0,0.7,0.15,Reconsider
BFF (Better French fries)medium  (medium ),Mini Bites,10,490.0,0.7,0.15,Improve
BFF (Better French fries)medium  (sour cream),Mini Bites,133,7160.0,0.7,0.15,Improve
Belgian waffle  (mango caramel ),Sans Coffee,109,9675.0,0.7,0.07,Improve
Belgian waffle  (peanut butter ),Sans Coffee,43,3600.0,0.7,0.07,Improve
Belgian waffle  (strawberry chocolate ),Sans Coffee,279,24985.0,0.7,0.07,Keep
Brownies ,Sans Coffee,168,11802.0,0.7,0.07,Improve
Chicken fillet,Mini Bites,2,300.0,0.7,0.15,Reconsider
Chicken pops (bbq),Mini Bites,4,400.0,0.5,0.15,Improve
Chicken wings (1 dozen),Mini Bites,52,28620.0,0.7,0.15,Improve
Chicken wings (3pcs),Mini Bites,667,100110.0,0.7,0.15,Keep
Chicken wings (extra rice ),Mini Bites,93,1395.0,0.7,0.15,Improve
Chicken wings (half dozen),Mini Bites,147,40371.0,0.7,0.15,Improve
Chiz melt  (bacon),Mini Bites,95,8875.0,0.7,0.15,Improve
Chiz melt  (ham),Mini Bites,116,10100.0,0.7,0.15,Improve
Chiz melt  (spam lite),Mini Bites,264,23340.0,0.7,0.15,Keep
Chiz melt (bacon),Mini Bites,1,100.0,0.7,0.15,Reconsider
Choco caramel decadence,Sans Coffee,1,149.0,0.7,0.07,Reconsider
Coffee Syphon (arabica),Sans Coffee,1,99.0,0.7,0.07,Reconsider
Cold brew with foamy vanilla ,Sans Coffee,200,20660.0,0.7,0.07,Improve
Cookies ,Sans Coffee,288,17592.0,0.7,0.07,Keep
Drip coffee  (barako),Sans Coffee,4,216.0,0.6999999999999998,0.07,Improve
