date,day_of_week,item,item_name,category,quantity,price,total,cost,is_weekend,hour,month,month_name,week,is_peak_hour,day_name,quarter,week_number,date_only,is_dry_season,gross_profit,profit_margin,revenue,total_cost,transaction_profit,waste_rate,estimated_waste_qty,estimated_waste_cost,is_high_waste_item,daily_qty,rolling_7d_avg,rolling_30d_avg,lag_1d,demand_trend,spoilage_risk_num,spoilage_risk_label,menu_performance,menu_performance_num,item_encoded,cat_Coffee Based,cat_Kôfē Frappé,cat_Mini Bites,cat_Sans Coffee,cat_Signature Kôfē
2026-01-20 16:39:39,1,triple caramel,triple caramel,Kôfē Frappé,1,160.0,160.0,48.0,0,16,1,January,4,1,Tuesday,1,4,2026-01-20,1,112.0,0.7,160.0,48.0,112.0,0.08,0.08,3.84,0,1,0.0,0.0,0.0,0.0,0,Low Risk,Reconsider,0,0,0,1,0,0,0
2026-01-20 16:39:39,1,white mocha (hot),white mocha (hot),Coffee Based,1,140.0,140.0,42.0,0,16,1,January,4,1,Tuesday,1,4,2026-01-20,1,98.0,0.7,140.0,42.0,98.0,0.05,0.05,2.1,0,1,0.0,0.0,0.0,0.0,0,Low Risk,Reconsider,0,1,1,0,0,0,0
2026-01-20 16:39:39,1,BFF (Better French fries) Large (cheese),BFF (Better French fries) Large (cheese),Mini Bites,1,100.0,100.0,30.0,0,16,1,January,4,1,Tuesday,1,4,2026-01-20,1,70.0,0.7,100.0,30.0,70.0,0.15,0.15,4.5,1,1,1.0,1.0,1.0,0.0,1,Medium Risk,Reconsider,0,2,0,0,1,0,0
2026-01-20 16:40:00,1,mocha (iced),mocha (iced),Coffee Based,1,150.0,150.0,45.0,0,16,1,January,4,1,Tuesday,1,4,2026-01-20,1,105.0,0.7,150.0,45.0,105.0,0.05,0.05,2.25,0,2,1.43,1.43,1.0,0.0,0,Low Risk,Keep,2,3,1,0,0,0,0
2026-01-20 16:40:00,1,matcha Supreme latte (iced),matcha Supreme latte (iced),Sans Coffee,1,150.0,150.0,45.0,0,16,1,January,4,1,Tuesday,1,4,2026-01-20,1,105.0,0.7,150.0,45.0,105.0,0.07,0.07,3.15,0,1,1.71,1.87,1.0,-0.0856,1,Medium Risk,Keep,2,4,0,0,0,1,0
2026-01-20 16:40:00,1,caramel macchiato (iced),caramel macchiato (iced),Coffee Based,1,150.0,150.0,45.0,0,16,1,January,4,1,Tuesday,1,4,2026-01-20,1,105.0,0.7,150.0,45.0,105.0,0.05,0.05,2.25,0,2,2.0,2.0,2.0,0.0,0,Low Risk,Reconsider,0,5,1,0,0,0,0
2026-01-20 16:40:00,1,Spanish latte (iced),Spanish latte (iced),Coffee Based,1,140.0,140.0,42.0,0,16,1,January,4,1,Tuesday,1,4,2026-01-20,1,98.0,0.7,140.0,42.0,98.0,0.05,0.05,2.1,0,1,2.14,1.77,1.0,0.209,0,Low Risk,Keep,2,6,1,0,0,0,0
2026-01-20 17:36:03,1,caramel macchiato (iced),caramel macchiato (iced),Coffee Based,1,150.0,150.0,45.0,0,17,1,January,4,0,Tuesday,1,4,2026-01-20,1,105.0,0.7,150.0,45.0,105.0,0.05,0.05,2.25,0,2,2.0,2.0,2.0,0.0,0,Low Risk,Reconsider,0,5,1,0,0,0,0
2026-01-20 17:50:24,1,mocha (iced),mocha (iced),Coffee Based,1,150.0,150.0,45.0,0,17,1,January,4,0,Tuesday,1,4,2026-01-20,1,105.0,0.7,150.0,45.0,105.0,0.05,0.05,2.25,0,2,1.43,1.43,1.0,0.0,0,Low Risk,Keep,2,3,1,0,0,0,0
2026-01-20 17:50:24,1,white mocha (iced),white mocha (iced),Coffee Based,1,150.0,150.0,45.0,0,17,1,January,4,0,Tuesday,1,4,2026-01-20,1,105.0,0.7,150.0,45.0,105.0,0.05,0.05,2.25,0,1,0.0,0.0,0.0,0.0,0,Low Risk,Reconsider,0,7,1,0,0,0,0
2026-01-20 21:42:37,1,Chicken wings (1 dozen),Chicken wings (1 dozen),Mini Bites,1,570.0,570.0,171.0,0,21,1,January,4,0,Tuesday,1,4,2026-01-20,1,399.0,0.7,570.0,171.0,399.0,0.15,0.15,25.65,1,1,1.71,1.23,2.0,0.3902,1,Medium Risk,Improve,1,8,0,0,1,0,0
2026-01-20 21:42:29,1,strawberry latte,strawberry latte,Sans Coffee,2,150.0,300.0,45.0,0,21,1,January,4,0,Tuesday,1,4,2026-01-20,1,105.0,0.7,300.0,90.0,210.0,0.07,0.14,6.3,0,3,1.29,1.4,1.0,-0.0786,1,Medium Risk,Keep,2,9,0,0,0,1,0
2026-01-20 21:42:21,1,choco dinosaur latte,choco dinosaur latte,Sans Coffee,1,150.0,150.0,45.0,0,21,1,January,4,0,Tuesday,1,4,2026-01-20,1,105.0,0.7,150.0,45.0,105.0,0.07,0.07,3.15,0,1,1.57,2.17,2.0,-0.2765,1,Medium Risk,Keep,2,10,0,0,0,1,0
2026-01-20 21:42:21,1,strawberry latte,strawberry latte,Sans Coffee,1,150.0,150.0,45.0,0,21,1,January,4,0,Tuesday,1,4,2026-01-20,1,105.0,0.7,150.0,45.0,105.0,0.07,0.07,3.15,0,3,1.29,1.4,1.0,-0.0786,1,Medium Risk,Keep,2,9,0,0,0,1,0
2026-01-21 22:06:51,2,Chicken pops (bbq),Chicken pops (bbq),Mini Bites,1,100.0,100.0,50.0,0,22,1,January,4,0,Wednesday,1,4,2026-01-21,1,50.0,0.5,100.0,50.0,50.0,0.15,0.15,7.5,1,1,1.25,1.25,1.5,0.0,1,Medium Risk,Improve,1,11,0,0,1,0,0
2026-01-21 22:06:51,2,latte,latte,Coffee Based,1,140.0,140.0,42.0,0,22,1,January,4,0,Wednesday,1,4,2026-01-21,1,98.0,0.7,140.0,42.0,98.0,0.05,0.05,2.1,0,1,0.0,0.0,0.0,0.0,0,Low Risk,Reconsider,0,12,1,0,0,0,0
2026-01-21 22:06:51,2,French fries plain (large),French fries plain (large),Mini Bites,1,100.0,100.0,90.0,0,22,1,January,4,0,Wednesday,1,4,2026-01-21,1,10.0,0.1,100.0,90.0,10.0,0.15,0.15,13.5,1,1,0.0,0.0,0.0,0.0,1,Medium Risk,Reconsider,0,13,0,0,1,0,0
2026-01-21 22:52:37,2,Add_on (kimchi),Add_on (kimchi),Sans Coffee,1,25.0,25.0,15.0,0,22,1,January,4,0,Wednesday,1,4,2026-01-21,1,10.0,0.4,25.0,15.0,10.0,0.07,0.07,1.05,0,1,1.4,1.4,1.0,0.0,0,Low Risk,Improve,1,14,0,0,0,1,0
2026-01-21 22:52:37,2,Chicken wings (3pcs),Chicken wings (3pcs),Mini Bites,1,170.0,170.0,51.0,0,22,1,January,4,0,Wednesday,1,4,2026-01-21,1,119.0,0.7,170.0,51.0,119.0,0.15,0.15,7.65,1,1,2.43,2.73,3.0,-0.1099,2,High Risk,Keep,2,15,0,0,1,0,0
